tempoDoSistema,frameType,msgId,DLC,data0,data1,data2,data3,data4,data5,data6,data7
10847,standard,43,6,17,00,4E,00,8E,00,00,00
10870,standard,42,8,00,00,00,00,00,00,01,01
10886,standard,46,8,0A,00,00,00,01,01,CE,00
10903,standard,47,8,00,00,00,00,00,00,00,00
10917,standard,43,6,17,00,4E,00,8E,00,00,00
10930,standard,42,8,00,00,00,00,00,00,01,01
10944,standard,46,8,05,00,00,00,FA,00,D0,00
10958,standard,47,8,00,00,00,00,00,00,00,00
10972,standard,43,6,17,00,4E,00,8E,00,00,00
10986,standard,42,8,00,00,00,00,00,00,01,01
11000,standard,46,8,08,00,00,00,FE,00,CD,00
11014,standard,47,8,00,00,00,00,00,00,00,00
11028,standard,43,6,17,00,4E,00,8E,00,00,00
11044,standard,42,8,00,00,00,00,00,00,01,01
11058,standard,46,8,07,00,00,00,FE,00,D0,00
11072,standard,47,8,00,00,00,00,00,00,00,00
11086,standard,43,6,17,00,4E,00,8E,00,00,00
11100,standard,42,8,00,00,00,00,00,00,01,01
11114,standard,46,8,09,00,00,00,FD,00,CE,00
11128,standard,47,8,00,00,00,00,00,00,00,00
11142,standard,43,6,17,00,4E,00,8E,00,00,00
11155,standard,42,8,00,00,00,00,00,00,01,01
11179,standard,46,8,09,00,00,00,08,01,CA,00
11199,standard,47,8,00,00,00,00,00,00,00,00
11216,standard,43,6,17,00,4E,00,8E,00,00,00
11229,standard,42,8,00,00,00,00,00,00,01,01
11243,standard,46,8,08,00,00,00,03,01,CE,00
11257,standard,47,8,00,00,00,00,00,00,00,00
11271,standard,43,6,17,00,4E,00,8E,00,00,00
11285,standard,42,8,00,00,00,00,00,00,01,01
11299,standard,46,8,06,00,00,00,08,01,CD,00
11313,standard,47,8,00,00,00,00,00,00,00,00
11327,standard,43,6,17,00,4E,00,8E,00,00,00
11341,standard,42,8,00,00,00,00,00,00,01,01
11357,standard,46,8,07,00,00,00,F9,00,CD,00
11371,standard,47,8,00,00,00,00,00,00,00,00
11385,standard,43,6,17,00,4E,00,8E,00,00,00
11399,standard,42,8,00,00,00,00,00,00,01,01
11413,standard,46,8,07,00,00,00,F4,00,D4,00
11427,standard,47,8,00,00,00,00,00,00,00,00
11441,standard,43,6,17,00,4E,00,8E,00,00,00
11454,standard,42,8,00,00,00,00,00,00,01,01
11468,standard,46,8,07,00,00,00,FB,00,CE,00
11482,standard,47,8,00,00,00,00,00,00,00,00
11499,standard,43,6,17,00,4E,00,8E,00,00,00
11513,standard,42,8,00,00,00,00,00,00,01,01
11526,standard,46,8,08,00,00,00,FC,00,CE,00
11540,standard,47,8,00,00,00,00,00,00,00,00
11554,standard,43,6,17,00,4E,00,8E,00,00,00
11568,standard,42,8,00,00,00,00,00,00,01,01
11582,standard,46,8,07,00,00,00,F4,00,D0,00
11596,standard,47,8,00,00,00,00,00,00,00,00
11610,standard,43,6,17,00,4E,00,8E,00,00,00
11624,standard,42,8,00,00,00,00,00,00,01,01
11640,standard,46,8,07,00,00,00,08,01,CE,00
11664,standard,47,8,00,00,00,00,00,00,00,00
11691,standard,43,6,17,00,4E,00,8E,00,00,00
11705,standard,42,8,00,00,00,00,00,00,01,01
11719,standard,46,8,07,00,00,00,00,01,CD,00
11732,standard,47,8,00,00,00,00,00,00,00,00
11746,standard,43,6,17,00,4E,00,8E,00,00,00
11760,standard,42,8,00,00,00,00,00,00,01,01
11774,standard,46,8,06,00,00,00,F8,00,CD,00
11788,standard,43,6,17,00,4E,00,8E,00,00,00
11804,standard,42,8,00,00,00,00,00,00,01,01
11818,standard,46,8,07,00,00,00,FB,00,D0,00
11832,standard,43,6,17,00,4E,00,8E,00,00,00
11846,standard,46,8,0A,00,00,00,FA,00,CA,00
11860,standard,47,8,00,00,00,00,00,00,00,00
11874,standard,43,6,17,00,4E,00,8E,00,00,00
11888,standard,42,8,00,00,00,00,00,00,01,01
11902,standard,46,8,07,00,00,00,FC,00,C7,00
11916,standard,43,6,17,00,4E,00,8E,00,00,00
11930,standard,42,8,00,00,00,00,00,00,01,01
11943,standard,46,8,06,00,00,00,E7,00,D0,00
11960,standard,47,8,00,00,00,00,00,00,00,00
11974,standard,43,6,17,00,4E,00,8E,00,00,00
11988,standard,42,8,00,00,00,00,00,00,01,01
12001,standard,46,8,07,00,00,00,FE,00,CD,00
12015,standard,43,6,17,00,4E,00,8E,00,00,00
12029,standard,42,8,00,00,00,00,00,00,01,01
12043,standard,46,8,0B,00,00,00,F2,00,D0,00
12057,standard,47,8,00,00,00,00,00,00,00,00
12071,standard,43,6,17,00,4E,00,8E,00,00,00
12085,standard,42,8,00,00,00,00,00,00,01,01
12101,standard,46,8,06,00,00,00,0C,01,CD,00
12115,standard,43,6,17,00,4E,00,8E,00,00,00
12129,standard,42,8,00,00,00,00,00,00,01,01
12143,standard,46,8,0A,00,00,00,FF,00,CE,00
12157,standard,47,8,00,00,00,00,00,00,00,00
12171,standard,43,6,17,00,4E,00,8E,00,00,00
12185,standard,42,8,00,00,00,00,00,00,01,01
12199,standard,46,8,08,00,00,00,DF,00,DE,00
12212,standard,43,6,17,00,4E,00,8E,00,00,00
12226,standard,42,8,00,00,00,00,00,00,01,01
12248,standard,46,8,0B,00,00,00,FC,00,CD,00
12262,standard,47,8,00,00,00,00,00,00,00,00
12276,standard,43,6,17,00,4E,00,8E,00,00,00
12290,standard,42,8,00,00,00,00,00,00,01,01
12303,standard,46,8,07,00,00,00,F4,00,CE,00
12317,standard,43,6,17,00,4E,00,8E,00,00,00
12331,standard,42,8,00,00,00,00,00,00,01,01
12345,standard,46,8,06,00,00,00,00,01,CD,00
12359,standard,47,8,00,00,00,00,00,00,00,00
12373,standard,43,6,17,00,4E,00,8E,00,00,00
12389,standard,42,8,00,00,00,00,00,00,01,01
12403,standard,46,8,0A,00,00,00,F5,00,D1,00
12417,standard,43,6,17,00,4E,00,8E,00,00,00
12431,standard,42,8,00,00,00,00,00,00,01,01
12445,standard,46,8,07,00,00,00,FC,00,CE,00
12459,standard,47,8,00,00,00,00,00,00,00,00
12473,standard,43,6,17,00,4E,00,8E,00,00,00
12487,standard,42,8,00,00,00,00,00,00,01,01
12501,standard,46,8,07,00,00,00,FF,00,CA,00
12515,standard,43,6,17,00,4E,00,8E,00,00,00
12529,standard,42,8,00,00,00,00,00,00,01,01
12545,standard,46,8,07,00,00,00,FA,00,CE,00
12559,standard,43,6,17,00,4E,00,8E,00,00,00
12573,standard,42,8,00,00,00,00,00,00,01,01
12586,standard,46,8,07,00,00,00,FD,00,CD,00
12600,standard,47,8,00,00,00,00,00,00,00,00
12614,standard,43,6,17,00,4E,00,8E,00,00,00
12628,standard,42,8,00,00,00,00,00,00,01,01
12642,standard,46,8,08,00,00,00,FC,00,CD,00
12656,standard,47,8,00,00,00,00,00,00,00,00
12670,standard,43,6,17,00,4E,00,8E,00,00,00
12686,standard,42,8,00,00,00,00,00,00,01,01
12700,standard,46,8,07,00,00,00,FC,00,CE,00
12714,standard,43,6,17,00,4E,00,8E,00,00,00
12728,standard,42,8,00,00,00,00,00,00,01,01
12742,standard,46,8,06,00,00,00,F9,00,CE,00
12756,standard,47,8,00,00,00,00,00,00,00,00
