tempoDoSistema,frameType,msgId,DLC,data0,data1,data2,data3,data4,data5,data6,data7
6996,standard,46,8,04,00,10,27,24,01,FC,00
7036,standard,100,3,00,00,00,27,24,01,FC,00
7072,standard,48,8,00,0B,06,00,00,00,00,00
7104,standard,47,8,10,27,20,4E,20,4E,E8,03
7136,standard,46,8,04,00,10,27,24,01,FC,00
7167,standard,43,6,76,00,26,00,9A,00,FC,00
7199,standard,42,8,00,00,00,00,00,00,01,01
7230,standard,48,8,00,0B,06,00,00,00,00,00
7262,standard,47,8,10,27,20,4E,20,4E,E8,03
7294,standard,46,8,05,00,10,27,24,01,FC,00
7325,standard,42,8,00,00,00,00,00,00,01,01
7357,standard,100,3,00,08,00,00,00,00,01,01
7388,standard,48,8,00,0B,06,00,00,00,00,00
7423,standard,47,8,10,27,20,4E,20,4E,E8,03
7454,standard,43,6,76,00,26,00,9A,00,FC,00
7486,standard,47,8,10,27,20,4E,20,4E,E8,03
7518,standard,100,3,00,08,00,27,25,01,FC,00
7549,standard,46,8,05,00,10,27,25,01,FC,00
7581,standard,48,8,00,0B,06,00,00,00,00,00
7612,standard,100,3,00,08,00,27,26,01,FC,00
7644,standard,46,8,05,00,10,27,26,01,FC,00
7676,standard,48,8,00,0B,06,00,00,00,00,00
7707,standard,100,3,00,08,00,27,27,01,FC,00
7741,standard,46,8,04,00,10,27,27,01,FC,00
7773,standard,48,8,00,0B,06,00,00,00,00,00
7804,standard,100,3,00,08,00,27,27,01,FC,00
7836,standard,47,8,10,27,20,4E,20,4E,E8,03
7868,standard,43,6,76,00,26,00,9A,00,FC,00
7899,standard,100,3,00,08,00,27,28,01,FA,00
7931,standard,47,8,10,27,20,4E,20,4E,E8,03
7962,standard,43,6,76,00,26,00,9A,00,FA,00
7994,standard,46,8,05,00,10,27,28,01,FA,00
8025,standard,48,8,00,0B,06,00,00,00,00,00
8057,standard,43,6,76,00,26,00,9A,00,FA,00
8091,standard,46,8,05,00,10,27,2B,01,FA,00
8123,standard,48,8,00,0B,06,00,00,00,00,00
8154,standard,43,6,76,00,26,00,9A,00,FA,00
8186,standard,47,8,10,27,20,4E,20,4E,E8,03
8218,standard,100,3,00,08,00,27,2B,01,FA,00
8249,standard,43,6,76,00,26,00,9A,00,FA,00
8281,standard,47,8,10,27,20,4E,20,4E,E8,03
8312,standard,100,3,00,08,00,27,2B,01,FA,00
8344,standard,46,8,05,00,10,27,2B,01,FA,00
