tempoDoSistema,frameType,msgId,DLC,data0,data1,data2,data3,data4,data5,data6,data7
7001,standard,43,6,30,00,4E,00,94,00,00,00
7042,standard,42,8,00,00,00,00,00,00,01,01
7077,standard,43,6,30,00,4E,00,94,00,01,01
7109,standard,42,8,00,00,00,00,00,00,01,01
7141,standard,43,6,30,00,4E,00,94,00,01,01
7174,standard,42,8,00,00,00,00,00,00,01,01
7208,standard,43,6,30,00,4E,00,94,00,01,01
7240,standard,42,8,00,00,00,00,00,00,01,01
7273,standard,43,6,30,00,4E,00,94,00,01,01
7305,standard,42,8,00,00,00,00,00,00,01,01
7337,standard,43,6,30,00,4E,00,94,00,01,01
7370,standard,42,8,00,00,00,00,00,00,01,01
7402,standard,43,6,30,00,4E,00,94,00,01,01
7434,standard,42,8,00,00,00,00,00,00,01,01
7466,standard,43,6,30,00,4E,00,94,00,01,01
7499,standard,42,8,00,00,00,00,00,00,01,01
7533,standard,43,6,30,00,4E,00,94,00,01,01
7566,standard,42,8,00,00,00,00,00,00,01,01
7598,standard,43,6,30,00,4E,00,94,00,01,01
7630,standard,42,8,00,00,00,00,00,00,01,01
7662,standard,43,6,30,00,4E,00,94,00,01,01
7695,standard,42,8,00,00,00,00,00,00,01,01
7727,standard,43,6,30,00,4E,00,94,00,01,01
7759,standard,42,8,00,00,00,00,00,00,01,01
7791,standard,43,6,30,00,4E,00,94,00,01,01
7824,standard,42,8,00,00,00,00,00,00,01,01
7856,standard,43,6,30,00,4E,00,94,00,01,01
7891,standard,42,8,00,00,00,00,00,00,01,01
7923,standard,43,6,30,00,4E,00,94,00,01,01
7955,standard,42,8,00,00,00,00,00,00,01,01
7987,standard,43,6,30,00,4E,00,94,00,01,01
8020,standard,42,8,00,00,00,00,00,00,01,01
8052,standard,43,6,30,00,4E,00,94,00,01,01
8084,standard,42,8,00,00,00,00,00,00,01,01
8116,standard,43,6,30,00,4E,00,94,00,01,01
8149,standard,42,8,00,00,00,00,00,00,01,01
8181,standard,43,6,30,00,4E,00,94,00,01,01
8216,standard,42,8,00,00,00,00,00,00,01,01
8248,standard,43,6,30,00,4E,00,94,00,01,01
8280,standard,43,6,30,00,4E,00,94,00,01,01
8313,standard,42,8,00,00,00,00,00,00,01,01
8345,standard,43,6,30,00,4E,00,94,00,01,01
8377,standard,42,8,00,00,00,00,00,00,01,01
8409,standard,43,6,30,00,4E,00,94,00,01,01
8442,standard,43,6,30,00,4E,00,94,00,01,01
8474,standard,42,8,00,00,00,00,00,00,01,01
8506,standard,43,6,30,00,4E,00,94,00,01,01
8539,standard,43,6,30,00,4E,00,94,00,01,01
8574,standard,42,8,00,00,00,00,00,00,01,01
8606,standard,43,6,30,00,4E,00,94,00,01,01
8638,standard,43,6,30,00,4E,00,94,00,01,01
8671,standard,42,8,00,00,00,00,00,00,01,01
8703,standard,43,6,30,00,4E,00,94,00,01,01
8735,standard,43,6,30,00,4E,00,94,00,01,01
8768,standard,42,8,00,00,00,00,00,00,01,01
8800,standard,43,6,30,00,4E,00,94,00,01,01
8832,standard,43,6,30,00,4E,00,94,00,01,01
8864,standard,42,8,00,00,00,00,00,00,01,01
8899,standard,43,6,30,00,4E,00,94,00,01,01
8931,standard,43,6,30,00,4E,00,94,00,01,01
8964,standard,42,8,00,00,00,00,00,00,01,01
8996,standard,43,6,30,00,4E,00,94,00,01,01
9028,standard,43,6,30,00,4E,00,94,00,01,01
9061,standard,42,8,00,00,00,00,00,00,01,01
9093,standard,43,6,30,00,4E,00,94,00,01,01
9125,standard,42,8,00,00,00,00,00,00,01,01
9158,standard,43,6,30,00,4E,00,94,00,01,01
9190,standard,43,6,30,00,4E,00,94,00,01,01
9222,standard,42,8,00,00,00,00,00,00,01,01
9257,standard,43,6,30,00,4E,00,94,00,01,01
9289,standard,43,6,30,00,4E,00,94,00,01,01
9322,standard,42,8,00,00,00,00,00,00,01,01
