#datatype measurement,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#group false,false,false,false,false,false,false,false,false,false,false,false,false,false
#default _result,,,,,,,,,,,,,
tempoDoSistema,power,motor_power,torque,motor_rpm,voltage,motor_temp,controller_temp,accelerator,ready_to_drive,torque_request_disable,test_mode,regen_request,brake
0.034,0,0,-1000.0,-1000,1.4,32.2,32.6,0.0,0,1,1,0,0
0.139,0,0,-1000.0,-1000,0.8,32.2,32.6,0.0,0,1,1,0,0
0.245,0,0,-1000.0,-1000,0.8,32.2,32.6,0.0,0,1,1,0,0
0.37,0,0,-1000.0,-1000,1.3,32.2,32.6,0.0,0,1,1,0,0
0.432,0,0,-1000.0,-1000,1.3,32.2,32.6,0.0,0,1,1,0,0
0.474,0,0,-1000.0,-1000,0.8,32.2,32.5,0.0,0,1,1,0,0
0.56,0,0,-1000.0,-1000,1.0,32.2,32.5,0.0,0,1,1,0,0
0.665,0,0,-1000.0,-1000,1.0,32.2,32.5,0.0,0,1,1,0,0
0.709,0,0,-1000.0,-1000,0.8,32.4,32.5,0.0,0,1,1,0,0
0.813,0,0,-1000.0,-1000,1.1,32.4,32.5,0.0,0,1,1,0,0
0.855,0,0,-1000.0,-1000,1.0,32.4,32.5,0.0,0,1,1,0,0
0.962,0,0,-1000.0,-1000,1.0,32.4,32.5,0.0,0,1,1,0,0
1.004,0,0,-1000.0,-1000,1.4,32.4,32.4,0.0,0,1,1,0,0
1.067,0,0,-1000.0,-1000,1.4,32.4,32.4,0.0,0,1,1,0,0
1.108,0,0,-1000.0,-1000,0.7,32.3,32.5,0.0,0,1,1,0,0
1.215,0,0,-1000.0,-1000,0.7,32.3,32.5,0.0,0,1,1,0,0
1.257,0,0,-1000.0,-1000,0.9,32.3,32.5,0.0,0,1,1,0,0
1.362,0,0,-1000.0,-1000,1.1,32.3,32.4,0.0,0,1,1,0,0
1.406,0,0,-1000.0,-1000,1.0,32.2,32.5,0.0,0,1,1,0,0
1.511,0,0,-1000.0,-1000,1.4,32.2,32.5,0.0,0,1,1,0,0
1.659,0,0,-1000.0,-1000,0.7,32.2,32.5,0.0,0,1,1,0,0
1.764,0,0,-1000.0,-1000,1.0,32.2,32.5,0.0,0,1,1,0,0
1.806,0,0,-1000.0,-1000,0.9,32.0,32.5,0.0,0,1,1,0,0
1.918,0,0,-1000.0,-1000,0.9,32.0,32.5,0.0,0,1,1,0,0
2.109,0,0,-1000.0,-1000,1.0,32.0,32.5,0.0,0,1,1,0,0
2.214,0,0,-1000.0,-1000,1.4,32.0,32.5,0.0,0,1,1,0,0
2.281,0,0,-1000.0,-1000,0.9,32.0,32.5,0.0,0,1,1,0,0
2.384,0,0,-1000.0,-1000,0.9,32.0,32.5,0.0,0,1,1,0,0
2.467,0,0,-1000.0,-1000,0.9,32.0,32.5,0.0,0,1,1,0,0
2.512,0,0,-1000.0,-1000,0.9,32.1,32.4,0.0,0,1,1,0,0
2.658,0,0,-1000.0,-1000,0.9,32.1,32.4,0.0,0,1,1,0,0
2.807,0,0,-1000.0,-1000,1.1,32.0,32.5,0.0,0,1,1,0,0
2.911,0,0,-1000.0,-1000,1.0,32.0,32.5,0.0,0,1,1,0,0
2.955,0,0,-1000.0,-1000,0.8,32.1,32.5,0.0,0,1,1,0,0
3.076,0,0,-1000.0,-1000,0.8,32.1,32.5,0.0,0,1,1,0,0
3.225,0,0,-1000.0,-1000,0.9,32.0,32.5,0.0,0,1,1,0,0
3.308,0,0,-1000.0,-1000,0.9,32.0,32.5,0.0,0,1,1,0,0
3.457,0,0,-1000.0,-1000,1.0,32.3,32.4,0.0,0,1,1,0,0
3.603,0,0,-1000.0,-1000,0.8,32.3,32.4,0.0,0,1,1,0,0
3.71,0,0,-1000.0,-1000,1.2,32.3,32.4,0.0,0,1,1,0,0
3.752,0,0,-1000.0,-1000,0.9,32.3,32.4,0.0,0,1,1,0,0
3.859,0,0,-1000.0,-1000,0.9,32.3,32.4,0.0,0,1,1,0,0
3.901,0,0,-1000.0,-1000,1.0,32.2,32.4,0.0,0,1,1,0,0
4.005,0,0,-1000.0,-1000,1.0,32.2,32.4,0.0,0,1,1,0,0
4.154,0,0,-1000.0,-1000,0.8,32.2,32.5,0.0,0,1,1,0,0
4.303,0,0,-1000.0,-1000,0.9,32.3,32.3,0.0,0,1,1,0,0
4.408,0,0,-1000.0,-1000,0.7,32.3,32.3,0.0,0,1,1,0,0
4.449,0,0,-1000.0,-1000,0.8,32.3,32.3,0.0,0,1,1,0,0
4.556,0,0,-1000.0,-1000,0.8,32.3,32.3,0.0,0,1,1,0,0
4.705,0,0,-1000.0,-1000,0.9,32.3,32.3,0.0,0,1,1,0,0
4.875,0,0,-1000.0,-1000,0.9,32.2,32.3,0.0,0,1,1,0,0
5.002,0,0,-1000.0,-1000,1.2,32.1,32.3,0.0,0,1,1,0,0
5.107,0,0,-1000.0,-1000,0.9,32.1,32.3,0.0,0,1,1,0,0
5.151,0,0,-1000.0,-1000,0.9,32.2,32.3,0.0,0,1,1,0,0
