tempoDoSistema,frameType,msgId,DLC,data0,data1,data2,data3,data4,data5,data6,data7
6976,standard,00000048,8,0A,0B,02,00,00,00,00,00
7006,standard,00000047,8,10,27,20,4E,20,4E,E8,03
7030,standard,00000046,8,07,00,10,27,F7,00,DC,00
7052,standard,00000043,6,58,00,4E,00,97,00,DC,00
7073,standard,00000042,8,00,00,00,00,00,00,01,01
7095,standard,00000048,8,0A,0B,02,00,00,00,00,00
7117,standard,00000047,8,10,27,20,4E,20,4E,E8,03
7138,standard,00000046,8,07,00,10,27,F7,00,DC,00
7160,standard,00000043,6,58,00,4E,00,97,00,DC,00
7184,standard,00000042,8,00,00,00,00,00,00,01,01
7206,standard,00000048,8,0A,0B,02,00,00,00,00,00
7227,standard,00000047,8,10,27,20,4E,20,4E,E8,03
7249,standard,00000046,8,08,00,10,27,F7,00,DC,00
7270,standard,00000043,6,58,00,4E,00,97,00,DC,00
7292,standard,00000042,8,00,00,00,00,00,00,01,01
7314,standard,00000048,8,0A,0B,02,00,00,00,00,00
7335,standard,00000047,8,10,27,20,4E,20,4E,E8,03
7357,standard,00000046,8,07,00,10,27,F7,00,DC,00
7378,standard,00000048,8,0A,0B,02,00,00,00,00,00
7400,standard,00000047,8,10,27,20,4E,20,4E,E8,03
7424,standard,00000048,8,0A,0B,02,00,00,00,00,00
7446,standard,00000047,8,10,27,20,4E,20,4E,E8,03
7467,standard,00000043,6,58,00,4E,00,97,00,DC,00
7489,standard,00000048,8,0A,0B,02,00,00,00,00,00
7510,standard,00000046,8,06,00,10,27,F8,00,DC,00
7532,standard,00000048,8,0A,0B,02,00,00,00,00,00
7563,standard,00000046,8,06,00,10,27,F8,00,DC,00
7593,standard,00000048,8,0A,0B,02,00,00,00,00,00
7615,standard,00000047,8,10,27,20,4E,20,4E,E8,03
7637,standard,00000043,6,58,00,4E,00,97,00,DC,00
7661,standard,00000048,8,0A,0B,02,00,00,00,00,00
7682,standard,00000043,6,58,00,4E,00,97,00,DC,00
7704,standard,00000048,8,0A,0B,02,00,00,00,00,00
