tempoDoSistema,frameType,msgId,DLC,data0,data1,data2,data3,data4,data5,data6,data7
7000,standard,43,6,26,00,4E,00,96,00,00,00
7031,standard,42,8,00,00,00,00,00,00,01,01
7063,standard,43,6,26,00,4E,00,96,00,01,01
7089,standard,42,8,00,00,00,00,00,00,01,01
7115,standard,43,6,26,00,4E,00,96,00,01,01
7141,standard,42,8,00,00,00,00,00,00,01,01
7167,standard,43,6,26,00,4E,00,96,00,01,01
7193,standard,42,8,00,00,00,00,00,00,01,01
7220,standard,43,6,26,00,4E,00,96,00,01,01
7246,standard,42,8,00,00,00,00,00,00,01,01
7272,standard,43,6,26,00,4E,00,96,00,01,01
7298,standard,42,8,00,00,00,00,00,00,01,01
7324,standard,43,6,26,00,4E,00,96,00,01,01
7352,standard,42,8,00,00,00,00,00,00,01,01
7378,standard,43,6,26,00,4E,00,96,00,01,01
7404,standard,42,8,00,00,00,00,00,00,01,01
7430,standard,43,6,26,00,4E,00,96,00,01,01
7457,standard,42,8,00,00,00,00,00,00,01,01
7483,standard,43,6,26,00,4E,00,96,00,01,01
7509,standard,42,8,00,00,00,00,00,00,01,01
7535,standard,43,6,26,00,4E,00,96,00,01,01
7561,standard,42,8,00,00,00,00,00,00,01,01
7587,standard,43,6,26,00,4E,00,96,00,01,01
7616,standard,42,8,00,00,00,00,00,00,01,01
7642,standard,43,6,26,00,4E,00,96,00,01,01
7668,standard,42,8,00,00,00,00,00,00,01,01
7694,standard,43,6,26,00,4E,00,96,00,01,01
7720,standard,42,8,00,00,00,00,00,00,01,01
7757,standard,43,6,26,00,4E,00,96,00,01,01
7798,standard,42,8,00,00,00,00,00,00,01,01
7824,standard,43,6,26,00,4E,00,96,00,01,01
7850,standard,42,8,00,00,00,00,00,00,01,01
7876,standard,43,6,26,00,4E,00,96,00,01,01
7904,standard,42,8,00,00,00,00,00,00,01,01
7930,standard,43,6,26,00,4E,00,96,00,01,01
7957,standard,42,8,00,00,00,00,00,00,01,01
7983,standard,43,6,26,00,4E,00,96,00,01,01
8009,standard,42,8,00,00,00,00,00,00,01,01
8035,standard,43,6,26,00,4E,00,96,00,01,01
8061,standard,42,8,00,00,00,00,00,00,01,01
8087,standard,43,6,26,00,4E,00,96,00,01,01
8113,standard,42,8,00,00,00,00,00,00,01,01
8139,standard,43,6,26,00,4E,00,96,00,01,01
8165,standard,42,8,00,00,00,00,00,00,01,01
8194,standard,43,6,26,00,4E,00,96,00,01,01
