#datatype measurement,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
#group false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#default _result,,,,,,,,,,,,,,
tempoDoSistema,power,motor_power,torque,motor_rpm,voltage,motor_temp,controller_temp,accelerator,ready_to_drive,torque_request_disable,test_mode,regen_request,brake
0.0,0,0,0.0,0,139.9,38.9,31.0,0.0,0,1,1,0,0
0.149,0,0,0.0,0,139.9,38.9,31.0,0.0,0,1,1,0,0
0.262,0,0,0.0,0,139.6,38.7,31.0,0.0,0,1,1,0,0
0.401,0,0,0.0,0,139.8,38.7,31.0,0.0,0,1,1,0,0
0.519,0,0,0.0,0,139.8,38.7,31.0,0.0,0,1,1,0,0
0.577,0,0,0.0,0,139.8,38.7,31.1,0.0,0,1,1,0,0
0.716,0,0,0.0,0,139.8,38.7,31.1,0.0,0,1,1,0,0
0.772,0,0,0.0,0,139.7,38.3,31.1,0.0,0,1,1,0,0
0.913,0,0,0.0,0,139.7,38.3,31.1,0.0,0,1,1,0,0
0.976,0,0,0.0,0,140.5,38.4,31.0,0.0,0,1,1,0,0
1.168,0,0,0.0,0,139.6,38.3,31.0,0.0,0,1,1,0,0
1.306,0,0,0.0,0,139.6,38.3,31.0,0.0,0,1,1,0,0
1.361,0,0,0.0,0,139.6,38.3,31.0,0.0,0,1,1,0,0
1.62,0,0,0.0,0,139.7,38.2,31.0,0.0,0,1,1,0,0
1.676,0,0,0.0,0,139.7,38.2,31.0,0.0,0,1,1,0,0
1.762,0,0,0.0,0,139.9,38.5,31.0,0.0,0,1,1,0,0
1.826,0,0,0.0,0,139.9,38.5,31.0,0.0,0,1,1,0,0
2.037,0,0,0.0,0,139.9,38.5,31.0,0.0,0,1,1,0,0
2.095,0,0,0.0,0,139.9,38.5,31.0,0.0,0,1,1,0,0
2.261,0,0,0.0,0,139.9,38.5,31.0,0.0,0,1,1,0,0
2.316,0,0,0.0,0,139.9,38.5,31.0,0.0,0,1,1,0,0
2.464,0,0,0.0,0,139.9,38.5,31.0,0.0,0,1,1,0,0
2.519,0,0,0.0,0,139.9,38.5,31.0,0.0,0,1,1,0,0
2.574,0,0,0.0,0,139.9,38.5,31.0,0.0,0,1,1,0,0
2.715,0,0,0.0,0,139.7,38.9,30.9,0.0,0,1,1,0,0
2.933,0,0,0.0,0,139.7,38.9,30.9,0.0,0,1,1,0,0
2.995,0,0,0.0,0,139.7,38.9,30.9,0.0,0,1,1,0,0
3.163,0,0,0.0,0,139.7,38.9,30.9,0.0,0,1,1,0,0
3.218,0,0,0.0,0,139.7,38.9,30.9,0.0,0,1,1,0,0
3.355,0,0,0.0,0,139.7,38.9,30.9,0.0,0,1,1,0,0
3.41,0,0,0.0,0,140.0,39.0,30.9,0.0,0,1,1,0,0
3.613,0,0,0.0,0,139.3,39.1,30.9,0.0,0,1,1,0,0
3.668,0,0,0.0,0,139.6,38.9,30.9,0.0,0,1,1,0,0
3.807,0,0,0.0,0,139.6,38.9,30.9,0.0,0,1,1,0,0
3.865,0,0,0.0,0,139.9,39.1,30.9,0.0,0,1,1,0,0
4.066,0,0,0.0,0,139.2,39.2,30.9,0.0,0,1,1,0,0
4.262,0,0,0.0,0,139.4,39.3,30.9,0.0,0,1,1,0,0
4.463,0,0,0.0,0,139.5,39.3,30.9,0.0,0,1,1,0,0
4.519,0,0,0.0,0,139.7,39.1,30.9,0.0,0,1,1,0,0
4.715,0,0,0.0,0,139.5,38.7,30.9,0.0,0,1,1,0,0
4.908,0,0,0.0,0,139.6,38.6,30.9,0.0,0,1,1,0,0
4.971,0,0,0.0,0,139.6,38.6,30.9,0.0,0,1,1,0,0
5.112,0,0,0.0,0,139.6,38.6,30.9,0.0,0,1,1,0,0
5.167,0,0,0.0,0,139.4,38.6,30.8,0.0,0,1,1,0,0
5.313,0,0,0.0,0,139.4,38.6,30.8,0.0,0,1,1,0,0
5.368,0,0,0.0,0,139.8,38.7,30.8,0.0,0,1,1,0,0
5.956,0,0,0.0,0,139.5,38.7,30.8,0.0,0,1,1,0,0
6.012,0,0,0.0,0,139.2,38.6,30.6,0.0,0,1,1,0,0
6.228,0,0,0.0,0,139.5,38.5,30.6,0.0,0,1,1,0,0
6.507,0,0,0.0,0,139.9,38.5,30.8,0.0,0,1,1,0,0
6.562,0,0,0.0,0,139.9,38.5,30.8,0.0,0,1,1,0,0
6.759,0,0,0.0,0,139.3,38.6,30.8,0.0,0,1,1,0,0
6.965,0,0,0.0,0,139.8,38.6,30.8,0.0,0,1,1,0,0
7.024,0,0,0.0,0,139.2,38.4,30.6,0.0,0,1,1,0,0
7.221,0,0,0.0,0,139.5,38.5,30.6,0.0,0,1,1,0,0
7.304,0,0,0.0,0,139.3,38.6,30.6,0.0,0,1,1,0,0
7.361,0,0,0.0,0,139.3,38.6,30.6,0.0,0,1,1,0,0
7.562,0,0,0.0,0,139.2,38.7,30.6,0.0,0,1,1,0,0
7.617,0,0,0.0,0,139.2,38.7,30.6,0.0,0,1,1,0,0
7.758,0,0,0.0,0,139.6,38.9,30.6,0.0,0,1,1,0,10922
7.955,0,0,0.0,0,139.8,38.9,30.6,0.0,0,1,1,0,10922
8.017,0,0,0.0,0,139.2,39.0,30.6,0.0,0,1,1,0,10922
8.211,0,0,0.0,0,139.1,39.0,30.6,0.0,0,1,1,0,10922
8.352,0,0,0.0,0,139.1,39.0,30.6,0.0,0,1,1,0,10922
8.407,0,0,0.0,0,139.3,39.1,30.6,0.0,0,1,1,0,10922
8.609,0,0,0.0,0,139.7,39.0,30.4,0.0,0,1,1,0,10922
8.664,0,0,0.0,0,139.7,39.0,30.4,0.0,0,1,1,0,10922
8.805,0,0,0.0,0,139.8,39.0,30.4,0.0,0,1,1,0,10922
8.998,0,0,0.0,0,139.6,38.9,30.4,0.0,0,1,1,0,10922
9.06,0,0,0.0,0,139.1,38.6,30.4,0.0,0,1,1,0,10922
9.271,0,0,0.0,0,139.9,38.7,30.4,0.0,0,1,1,0,10922
9.575,0,0,0.0,0,139.8,38.7,30.6,0.0,0,1,1,0,10922
9.63,0,0,0.0,0,140.0,38.9,30.6,0.0,0,1,1,0,10922
9.77,0,0,0.0,0,140.0,38.9,30.6,0.0,0,1,1,0,10922
9.798,0,0,0.0,0,139.5,38.9,30.6,0.0,0,1,1,0,10922
9.853,0,0,0.0,0,139.5,38.9,30.6,0.0,0,1,1,0,10922
10.057,0,0,0.0,0,139.2,38.9,30.6,0.0,0,1,1,0,10922
10.112,0,0,0.0,0,140.5,38.9,31.0,0.0,0,1,1,0,10922
10.447,0,0,0.0,0,139.8,38.6,31.0,0.0,0,1,1,0,10922
10.502,0,0,0.0,0,140.0,38.6,30.9,0.0,0,1,1,0,10922
10.7,0,0,0.0,0,140.0,38.5,30.9,0.0,0,1,1,0,10922
10.756,0,0,0.0,0,139.9,38.4,30.9,0.0,0,1,1,0,10922
10.896,0,0,0.0,0,139.9,38.4,30.9,0.0,0,1,1,0,10922
10.952,0,0,0.0,0,139.6,38.2,30.6,0.0,0,1,1,0,10922
11.155,0,0,0.0,0,139.6,38.2,30.6,0.0,0,1,1,0,10922
11.211,0,0,0.0,0,140.2,38.2,30.6,0.0,0,1,1,0,10922
11.349,0,0,0.0,0,140.2,38.2,30.6,0.0,0,1,1,0,32768
11.404,0,0,0.0,0,139.8,38.4,30.6,0.0,0,1,1,0,32768
11.551,0,0,0.0,0,139.8,38.4,30.6,0.0,0,1,1,0,32768
11.606,0,0,0.0,0,139.6,38.3,30.5,0.0,0,1,1,0,32768
11.802,0,0,0.0,0,139.5,38.6,30.5,0.0,0,1,1,0,32768
11.996,0,0,0.0,0,139.7,38.6,30.5,0.0,0,1,1,0,32768
12.06,0,0,0.0,0,139.3,38.9,30.5,0.0,0,1,1,0,32768
12.253,0,0,0.0,0,139.4,39.0,30.5,0.0,0,1,1,0,32768
12.394,0,0,0.0,0,139.4,39.0,30.5,0.0,0,1,1,0,32768
12.449,0,0,0.0,0,139.4,38.9,30.5,0.0,0,1,1,0,32768
12.652,0,0,0.0,0,140.3,38.9,30.5,0.0,0,1,1,0,32768
12.715,0,0,0.0,0,140.0,38.6,30.5,0.0,0,1,1,0,32768
12.883,0,0,0.0,0,139.7,38.3,30.4,0.0,0,1,1,0,32768
13.03,0,0,0.0,0,139.4,38.3,30.4,0.0,0,1,1,0,32768
13.113,0,0,0.0,0,140.0,38.2,30.4,0.0,0,1,1,0,32768
13.196,0,0,0.0,0,139.7,38.2,30.4,0.0,0,1,1,0,32768
13.254,0,0,0.0,0,140.0,37.7,30.4,0.0,0,1,1,0,32768
13.392,0,0,0.0,0,140.0,37.7,30.4,0.0,0,1,1,0,32768
13.448,0,0,0.0,0,139.8,37.8,30.3,0.0,0,1,1,0,32768
13.65,0,0,0.0,0,139.5,37.8,30.3,0.0,0,1,1,0,32768
