tempoDoSistema,frameType,msgId,DLC,data0,data1,data2,data3,data4,data5,data6,data7
7015,standard,00000305,8,00,00,00,00,00,00,00,00
7047,standard,00000106,8,00,00,00,00,00,00,00,00
7072,standard,00000304,8,00,00,00,00,00,00,00,00
7097,standard,00000303,8,00,00,00,00,D1,F7,15,3F
7120,standard,00000302,8,4F,5D,B9,41,F0,52,E7,41
7143,standard,00000000,8,00,00,00,00,00,00,00,28
7166,standard,00000007,8,00,00,00,00,00,00,00,37
7189,standard,00000001,8,B3,CF,BF,3D,25,00,00,00
7212,standard,00000002,8,77,7A,78,00,00,00,00,00
7235,standard,00000003,8,00,33,1D,00,00,00,00,00
7259,standard,00000008,8,75,78,76,00,00,00,00,00
7282,standard,00000171,8,00,00,00,00,01,00,00,01
7305,standard,00000304,8,00,00,00,00,00,00,00,00
7328,standard,00000305,8,00,00,00,00,00,00,00,00
7353,standard,00000304,8,00,00,00,00,00,00,00,00
7376,standard,00000000,8,00,00,00,00,00,00,00,28
7399,standard,00000304,8,00,00,00,00,00,00,00,00
7423,standard,00000305,8,00,00,00,00,00,00,00,00
7446,standard,00000106,8,00,00,00,00,00,00,00,00
7469,standard,00000000,8,00,00,00,00,00,00,00,28
7492,standard,00000210,2,18,FF,00,00,01,00,00,01
7515,standard,00000303,8,00,00,00,00,E3,CD,14,3F
7538,standard,00000305,8,00,00,00,00,00,00,00,00
7561,standard,00000000,8,00,00,00,00,00,00,00,28
7597,standard,00000170,3,00,00,00,00,94,A4,00,00
7635,standard,00000303,8,00,00,00,00,F8,5E,15,3F
7658,standard,00000208,2,19,FF,B9,41,E0,8E,E5,41
7681,standard,00000210,2,19,FF,00,00,00,00,00,00
7704,standard,00000215,8,19,78,00,78,00,B0,04,00
7727,standard,00000304,8,00,00,00,00,00,00,00,00
7750,standard,00000207,8,1A,03,86,00,96,A6,00,00
7773,standard,00000304,8,00,00,00,00,00,00,00,00
7796,standard,00000000,8,00,00,00,00,00,00,00,28
7819,standard,00000305,8,00,00,00,00,00,00,00,00
7844,standard,0000020C,2,1A,FF,FF,FF,FF,FF,77,FF
7867,standard,00000008,8,75,78,76,00,00,00,00,00
7890,standard,00000305,8,00,00,00,00,00,00,00,00
7913,standard,00000303,8,00,00,00,00,CA,C3,15,3F
7936,standard,00000305,8,00,00,00,00,00,00,00,00
7960,standard,00000303,8,00,00,00,00,B1,25,16,3F
7983,standard,00000000,8,00,00,00,00,00,00,00,28
8006,standard,00000303,8,00,00,00,00,26,98,16,3F
8029,standard,00000305,8,00,00,00,00,00,00,00,00
8052,standard,00000304,8,00,00,00,00,00,00,00,00
8075,standard,00000000,8,00,00,00,00,00,00,00,28
8101,standard,00000304,8,00,00,00,00,00,00,00,00
8123,standard,00000305,8,00,00,00,00,00,00,00,00
8147,standard,00000304,8,00,00,00,00,00,00,00,00
8170,standard,00000000,8,00,00,00,00,00,00,00,28
8193,standard,00000106,8,00,00,00,00,00,00,00,00
8216,standard,00000305,8,00,00,00,00,00,00,00,00
8239,standard,00000106,8,00,00,00,00,00,00,00,00
8262,standard,00000303,8,00,00,00,00,70,6A,16,3F
8285,standard,00000171,8,00,00,00,00,01,00,00,01
8308,standard,00000303,8,00,00,00,00,1B,F0,17,3F
8333,standard,00000305,8,00,00,00,00,00,00,00,00
8356,standard,00000303,8,00,00,00,00,BB,DB,16,3F
8379,standard,00000170,3,00,00,00,00,00,3D,25,00
8403,standard,00000303,8,00,00,00,00,97,4B,18,3F
8426,standard,00000305,8,00,00,00,00,00,00,00,00
8449,standard,00000304,8,00,00,00,00,00,00,00,00
8472,standard,00000171,8,00,00,00,00,01,00,00,01
8495,standard,00000005,8,00,00,00,D6,00,25,62,64
8518,standard,00000305,8,00,00,00,00,00,00,00,00
8541,standard,00000106,8,00,00,00,00,00,00,00,00
8564,standard,00000000,8,00,00,00,00,00,00,00,28
8594,standard,00000006,8,FF,FF,01,50,99,99,00,00
8617,standard,00000214,2,1B,FF,B7,41,70,64,DF,41
8640,standard,00000305,8,00,00,00,00,00,00,00,00
