Type,ID,TimeStamp,Bus,Len,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7
1,0x305,0.0,0,8,00,00,00,00,00,00,00,00
1,0x106,0.032,0,8,00,00,00,00,00,00,00,00
1,0x304,0.057,0,8,00,00,00,00,00,00,00,00
1,0x303,0.082,0,8,00,00,00,00,D1,F7,15,3F
1,0x302,0.105,0,8,4F,5D,B9,41,F0,52,E7,41
1,0x0,0.128,0,8,00,00,00,00,00,00,00,28
1,0x7,0.151,0,8,00,00,00,00,00,00,00,37
1,0x1,0.174,0,8,B3,CF,BF,3D,25,00,00,00
1,0x2,0.197,0,8,77,7A,78,00,00,00,00,00
1,0x3,0.22,0,8,00,33,1D,00,00,00,00,00
1,0x8,0.244,0,8,75,78,76,00,00,00,00,00
1,0x171,0.267,0,8,00,00,00,00,01,00,00,01
1,0x304,0.29,0,8,00,00,00,00,00,00,00,00
1,0x305,0.313,0,8,00,00,00,00,00,00,00,00
1,0x304,0.338,0,8,00,00,00,00,00,00,00,00
1,0x0,0.361,0,8,00,00,00,00,00,00,00,28
1,0x304,0.384,0,8,00,00,00,00,00,00,00,00
1,0x305,0.408,0,8,00,00,00,00,00,00,00,00
1,0x106,0.431,0,8,00,00,00,00,00,00,00,00
1,0x0,0.454,0,8,00,00,00,00,00,00,00,28
1,0x210,0.477,0,2,18,FF,00,00,01,00,00,01
1,0x303,0.5,0,8,00,00,00,00,E3,CD,14,3F
1,0x305,0.523,0,8,00,00,00,00,00,00,00,00
1,0x0,0.546,0,8,00,00,00,00,00,00,00,28
1,0x170,0.582,0,3,00,00,00,00,94,A4,00,00
1,0x303,0.62,0,8,00,00,00,00,F8,5E,15,3F
1,0x208,0.643,0,2,19,FF,B9,41,E0,8E,E5,41
1,0x210,0.666,0,2,19,FF,00,00,00,00,00,00
1,0x215,0.689,0,8,19,78,00,78,00,B0,04,00
1,0x304,0.712,0,8,00,00,00,00,00,00,00,00
1,0x207,0.735,0,8,1A,03,86,00,96,A6,00,00
1,0x304,0.758,0,8,00,00,00,00,00,00,00,00
1,0x0,0.781,0,8,00,00,00,00,00,00,00,28
1,0x305,0.804,0,8,00,00,00,00,00,00,00,00
1,0x20C,0.829,0,2,1A,FF,FF,FF,FF,FF,77,FF
1,0x8,0.852,0,8,75,78,76,00,00,00,00,00
1,0x305,0.875,0,8,00,00,00,00,00,00,00,00
1,0x303,0.898,0,8,00,00,00,00,CA,C3,15,3F
1,0x305,0.921,0,8,00,00,00,00,00,00,00,00
1,0x303,0.945,0,8,00,00,00,00,B1,25,16,3F
1,0x0,0.968,0,8,00,00,00,00,00,00,00,28
