Type,ID,TimeStamp,Bus,Len,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7
1,0x305,0.0,0,8,00,00,00,00,00,00,00,00
1,0x106,0.022,0,8,00,00,00,00,00,00,00,00
1,0x304,0.038,0,8,00,00,00,00,00,00,00,00
1,0x700,0.051,0,8,FF,00,FF,00,00,00,DF,22
1,0x207,0.065,0,8,17,02,81,00,91,A1,00,00
1,0x303,0.081,0,8,00,00,00,00,A2,81,15,3F
1,0x302,0.094,0,8,04,93,BB,41,90,17,E9,41
1,0x0,0.108,0,8,00,00,00,00,00,00,00,28
1,0x7,0.121,0,8,00,00,00,00,00,00,00,37
1,0x1,0.135,0,8,9E,BC,A8,39,85,00,00,00
1,0x2,0.149,0,8,77,78,77,00,00,00,00,00
1,0x3,0.162,0,8,00,00,00,00,00,00,00,00
1,0x6,0.176,0,8,FF,FF,01,19,99,99,00,00
1,0x304,0.189,0,8,00,00,00,00,00,00,00,00
1,0x303,0.203,0,8,00,00,00,00,CD,C6,15,3F
1,0x305,0.216,0,8,00,00,00,00,00,00,00,00
1,0x106,0.229,0,8,00,00,00,00,00,00,00,00
1,0x304,0.242,0,8,00,00,00,00,00,00,00,00
1,0x0,0.256,0,8,00,00,00,00,00,00,00,28
1,0x210,0.269,0,2,17,FF,A8,00,00,39,85,00
1,0x305,0.283,0,8,00,00,00,00,00,00,00,00
1,0x7FC,0.296,0,8,85,39,00,00,85,39,00,00
1,0x305,0.31,0,8,00,00,00,00,00,00,00,00
1,0x106,0.323,0,8,00,00,00,00,00,00,00,00
1,0x304,0.337,0,8,00,00,00,00,00,00,00,00
1,0x303,0.35,0,8,00,00,00,00,6E,53,15,3F
1,0x171,0.372,0,8,00,00,41,10,01,00,01,01
1,0x305,0.385,0,8,00,00,00,00,00,00,00,00
1,0x304,0.399,0,8,00,00,00,00,00,00,00,00
1,0x305,0.422,0,8,00,00,00,00,00,00,00,00
1,0x106,0.446,0,8,00,00,00,00,00,00,00,00
1,0x304,0.46,0,8,00,00,00,00,00,00,00,00
