tempoDoSistema,frameType,msgId,DLC,data0,data1,data2,data3,data4,data5,data6,data7
7008,standard,00000305,8,00,00,00,00,00,00,00,00
7042,standard,00000106,8,00,00,00,00,00,00,00,00
7070,standard,00000303,8,00,00,00,00,C8,DE,0A,3F
7095,standard,00000304,8,00,00,00,00,00,00,00,00
7120,standard,00000305,8,00,00,00,00,00,00,00,00
7145,standard,00000106,8,00,00,00,00,00,00,00,00
7170,standard,00000305,8,00,00,00,00,00,00,00,00
7195,standard,00000106,8,00,00,00,00,00,00,00,00
7220,standard,00000304,8,00,00,00,00,00,00,00,00
7247,standard,00000303,8,00,00,00,00,40,7D,17,3F
7272,standard,00000305,8,00,00,00,00,00,00,00,00
7297,standard,00000106,8,00,00,00,00,00,00,00,00
7322,standard,00000305,8,00,00,00,00,00,00,00,00
7347,standard,00000106,8,00,00,00,00,00,00,00,00
7372,standard,00000305,8,00,00,00,00,00,00,00,00
7397,standard,00000106,8,00,00,00,00,00,00,00,00
7422,standard,00000305,8,00,00,00,00,00,00,00,00
7447,standard,00000106,8,00,00,00,00,00,00,00,00
7472,standard,00000305,8,00,00,00,00,00,00,00,00
7497,standard,00000106,8,00,00,00,00,00,00,00,00
7524,standard,00000305,8,00,00,00,00,00,00,00,00
7549,standard,00000106,8,00,00,00,00,00,00,00,00
7574,standard,00000305,8,00,00,00,00,00,00,00,00
7599,standard,00000106,8,00,00,00,00,00,00,00,00
7624,standard,00000305,8,00,00,00,00,00,00,00,00
7649,standard,00000106,8,00,00,00,00,00,00,00,00
7674,standard,00000305,8,00,00,00,00,00,00,00,00
7699,standard,00000106,8,00,00,00,00,00,00,00,00
7724,standard,00000305,8,00,00,00,00,00,00,00,00
7749,standard,00000106,8,00,00,00,00,00,00,00,00
7776,standard,00000305,8,00,00,00,00,00,00,00,00
7801,standard,00000304,8,00,00,00,00,00,00,00,00
7826,standard,00000305,8,00,00,00,00,00,00,00,00
7851,standard,00000304,8,00,00,00,00,00,00,00,00
7876,standard,00000305,8,00,00,00,00,00,00,00,00
7901,standard,00000304,8,00,00,00,00,00,00,00,00
7926,standard,00000305,8,00,00,00,00,00,00,00,00
7951,standard,00000304,8,00,00,00,00,00,00,00,00
7976,standard,00000305,8,00,00,00,00,00,00,00,00
8001,standard,00000304,8,00,00,00,00,00,00,00,00
8025,standard,00000305,8,00,00,00,00,00,00,00,00
8053,standard,00000304,8,00,00,00,00,00,00,00,00
8087,standard,00000305,8,00,00,00,00,00,00,00,00
8124,standard,00000304,8,00,00,00,00,00,00,00,00
8149,standard,00000305,8,00,00,00,00,00,00,00,00
8174,standard,00000304,8,00,00,00,00,00,00,00,00
8199,standard,00000305,8,00,00,00,00,00,00,00,00
8224,standard,00000304,8,00,00,00,00,00,00,00,00
8249,standard,00000305,8,00,00,00,00,00,00,00,00
8274,standard,00000304,8,00,00,00,00,00,00,00,00
8299,standard,00000305,8,00,00,00,00,00,00,00,00
8326,standard,00000304,8,00,00,00,00,00,00,00,00
8351,standard,00000305,8,00,00,00,00,00,00,00,00
8376,standard,00000305,8,00,00,00,00,00,00,00,00
8401,standard,00000304,8,00,00,00,00,00,00,00,00
8426,standard,00000305,8,00,00,00,00,00,00,00,00
8451,standard,00000304,8,00,00,00,00,00,00,00,00
8476,standard,00000305,8,00,00,00,00,00,00,00,00
8501,standard,00000304,8,00,00,00,00,00,00,00,00
8526,standard,00000305,8,00,00,00,00,00,00,00,00
8551,standard,00000304,8,00,00,00,00,00,00,00,00
8576,standard,00000305,8,00,00,00,00,00,00,00,00
8600,standard,00000304,8,00,00,00,00,00,00,00,00
8625,standard,00000305,8,00,00,00,00,00,00,00,00
8650,standard,00000304,8,00,00,00,00,00,00,00,00
8675,standard,00000305,8,00,00,00,00,00,00,00,00
8699,standard,00000304,8,00,00,00,00,00,00,00,00
8724,standard,00000305,8,00,00,00,00,00,00,00,00
8749,standard,00000304,8,00,00,00,00,00,00,00,00
8774,standard,00000305,8,00,00,00,00,00,00,00,00
8799,standard,00000304,8,00,00,00,00,00,00,00,00
8824,standard,00000305,8,00,00,00,00,00,00,00,00
8852,standard,00000304,8,00,00,00,00,00,00,00,00
8877,standard,00000305,8,00,00,00,00,00,00,00,00
8901,standard,00000304,8,00,00,00,00,00,00,00,00
8927,standard,00000305,8,00,00,00,00,00,00,00,00
8951,standard,00000304,8,00,00,00,00,00,00,00,00
8977,standard,00000305,8,00,00,00,00,00,00,00,00
9002,standard,00000304,8,00,00,00,00,00,00,00,00
9027,standard,00000305,8,00,00,00,00,00,00,00,00
9051,standard,00000304,8,00,00,00,00,00,00,00,00
9076,standard,00000305,8,00,00,00,00,00,00,00,00
9104,standard,00000303,8,00,00,00,00,C8,DE,0A,3F
9129,standard,00000305,8,00,00,00,00,00,00,00,00
9154,standard,00000303,8,00,00,00,00,C8,DE,0A,3F
9179,standard,00000305,8,00,00,00,00,00,00,00,00
9204,standard,00000303,8,00,00,00,00,40,7D,17,3F
9229,standard,00000305,8,00,00,00,00,00,00,00,00
9254,standard,00000303,8,00,00,00,00,C8,DE,0A,3F
9279,standard,00000305,8,00,00,00,00,00,00,00,00
9304,standard,00000303,8,00,00,00,00,C8,DE,0A,3F
9329,standard,00000305,8,00,00,00,00,00,00,00,00
9354,standard,00000303,8,00,00,00,00,C8,DE,0A,3F
9381,standard,00000305,8,00,00,00,00,00,00,00,00
9406,standard,00000303,8,00,00,00,00,D0,78,FC,3E
9431,standard,00000305,8,00,00,00,00,00,00,00,00
9456,standard,00000303,8,00,00,00,00,40,7D,17,3F
9481,standard,00000305,8,00,00,00,00,00,00,00,00
9505,standard,00000303,8,00,00,00,00,C8,DE,0A,3F
9530,standard,00000305,8,00,00,00,00,00,00,00,00
9565,standard,00000303,8,00,00,00,00,D0,78,FC,3E
9599,standard,00000305,8,00,00,00,00,00,00,00,00
9624,standard,00000303,8,00,00,00,00,D0,78,FC,3E
9651,standard,00000305,8,00,00,00,00,00,00,00,00
9676,standard,00000303,8,00,00,00,00,40,7D,17,3F
9701,standard,00000305,8,00,00,00,00,00,00,00,00
9726,standard,00000303,8,00,00,00,00,D0,78,FC,3E
9751,standard,00000305,8,00,00,00,00,00,00,00,00
9776,standard,00000303,8,00,00,00,00,C8,DE,0A,3F
9801,standard,00000305,8,00,00,00,00,00,00,00,00
9826,standard,00000305,8,00,00,00,00,00,00,00,00
9851,standard,00000303,8,00,00,00,00,D0,78,FC,3E
9876,standard,00000305,8,00,00,00,00,00,00,00,00
9901,standard,00000303,8,00,00,00,00,40,7D,17,3F
9928,standard,00000305,8,00,00,00,00,00,00,00,00
9953,standard,00000303,8,00,00,00,00,D0,78,FC,3E
9978,standard,00000305,8,00,00,00,00,00,00,00,00
10003,standard,00000303,8,00,00,00,00,40,7D,17,3F
10028,standard,00000305,8,00,00,00,00,00,00,00,00
10053,standard,00000303,8,00,00,00,00,D0,78,FC,3E
10078,standard,00000305,8,00,00,00,00,00,00,00,00
10103,standard,00000303,8,00,00,00,00,C8,DE,0A,3F
10128,standard,00000305,8,00,00,00,00,00,00,00,00
10153,standard,00000303,8,00,00,00,00,D0,78,FC,3E
10180,standard,00000305,8,00,00,00,00,00,00,00,00
10205,standard,00000303,8,00,00,00,00,C8,DE,0A,3F
10230,standard,00000305,8,00,00,00,00,00,00,00,00
